Timestamp,Distance (cm)
12:43:14,95.59
12:43:14,103.46
12:43:14,103.46
12:43:14,103.46
12:43:14,104.70
12:43:14,102.26
12:43:15,103.46
12:43:15,103.46
12:43:15,107.25
12:43:15,104.70
12:43:15,105.96
12:43:15,104.70
12:43:15,104.70
12:43:15,107.25
12:43:15,105.96
12:43:15,104.70
12:43:15,105.96
12:43:15,105.96
12:43:15,103.46
12:43:15,108.57
12:43:15,107.25
12:43:15,108.57
12:43:15,109.93
12:43:15,107.25
12:43:15,109.93
12:43:15,107.25
12:43:15,109.93
12:43:15,112.75
12:43:15,111.32
12:43:15,107.25
12:43:15,105.96
12:43:15,107.25
12:43:15,111.32
12:43:15,111.32
12:43:15,108.57
12:43:15,107.25
12:43:16,108.57
12:43:16,111.32
12:43:16,112.75
12:43:16,114.21
12:43:16,112.75
12:43:16,108.57
12:43:16,105.96
12:43:16,109.93
12:43:16,108.57
12:43:16,108.57
12:43:16,109.93
12:43:16,109.93
12:43:16,109.93
12:43:16,109.93
12:43:16,109.93
12:43:16,109.93
12:43:16,108.57
12:43:16,111.32
12:43:16,111.32
12:43:16,109.93
12:43:16,112.75
12:43:16,112.75
12:43:16,111.32
12:43:16,111.32
12:43:16,111.32
12:43:16,111.32
12:43:16,111.32
12:43:16,112.75
12:43:16,111.32
12:43:16,112.75
12:43:16,112.75
12:43:17,112.75
12:43:17,111.32
12:43:17,111.32
12:43:17,112.75
12:43:17,109.93
12:43:17,111.32
12:43:17,109.93
12:43:17,111.32
12:43:17,111.32
12:43:17,112.75
12:43:17,111.32
12:43:17,109.93
12:43:17,111.32
12:43:17,111.32
12:43:17,112.75
12:43:17,109.93
12:43:17,109.93
12:43:17,115.72
12:43:17,112.75
12:43:17,112.75
12:43:17,109.93
12:43:17,109.93
12:43:17,111.32
12:43:17,108.57
12:43:17,107.25
12:43:17,105.96
12:43:17,105.96
12:43:17,105.96
12:43:17,103.46
12:43:18,99.94
12:43:18,98.81
12:43:18,98.81
12:43:18,97.72
12:43:18,99.94
12:43:18,96.64
12:43:18,94.56
12:43:18,89.74
12:43:18,87.94
12:43:18,87.94
12:43:18,85.38
12:43:18,84.56
12:43:18,81.43
12:43:18,79.23
12:43:18,77.14
12:43:18,209.39
12:43:18,81.43
12:43:18,209.39
12:43:18,191.18
12:43:18,187.12
12:43:18,199.88
12:43:18,179.48
12:43:18,187.12
12:43:18,175.89
12:43:18,175.89
12:43:20,175.89
12:43:20,175.89
12:43:20,172.44
12:43:20,175.89
12:43:20,172.44
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:20,172.44
12:43:20,172.44
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:20,169.12
12:43:21,169.12
12:43:21,165.93
12:43:21,165.93
12:43:21,165.93
12:43:21,172.44
12:43:21,165.93
12:43:21,169.12
12:43:21,169.12
12:43:21,169.12
12:43:21,175.89
12:43:21,172.44
12:43:21,175.89
12:43:24,56.02
12:43:24,56.38
12:43:24,54.29
12:43:24,53.30
12:43:24,53.30
12:43:24,51.73
12:43:24,53.95
12:43:24,54.29
12:43:24,53.62
12:43:24,52.66
12:43:24,53.62
12:43:24,53.62
12:43:24,51.73
12:43:24,52.98
12:43:24,52.98
12:43:24,52.35
12:43:24,52.98
12:43:24,52.66
12:43:24,52.35
12:43:24,52.35
12:43:24,52.98
12:43:24,52.66
12:43:24,52.98
12:43:24,53.30
12:43:24,51.73
12:43:24,52.35
12:43:25,52.98
12:43:25,53.62
12:43:25,53.30
12:43:25,52.66
12:43:25,52.04
12:43:25,52.04
12:43:25,51.73
12:43:25,50.84
12:43:25,51.73
12:43:25,51.13
12:43:25,49.97
12:43:25,50.84
12:43:25,49.41
12:43:25,49.69
12:43:25,49.97
12:43:25,49.41
12:43:25,48.86
12:43:25,48.86
12:43:25,49.41
12:43:25,49.69
12:43:25,49.69
12:43:25,48.86
12:43:25,48.06
12:43:25,48.86
12:43:25,48.59
12:43:25,47.80
12:43:25,47.28
12:43:25,47.03
12:43:25,47.80
12:43:26,48.06
12:43:26,47.54
12:43:26,46.78
12:43:26,47.80
12:43:26,47.28
12:43:26,47.54
12:43:26,48.06
12:43:26,47.80
12:43:26,47.03
12:43:26,48.32
12:43:26,47.03
12:43:26,47.03
12:43:26,47.54
12:43:26,47.03
12:43:26,46.04
12:43:26,46.53
12:43:26,47.54
12:43:26,46.29
12:43:26,47.80
